Adrenergic syndrome	C0274714
Laryngeal Edema	C0023052
Pustule	C0241157
Thyroid function test abnormal	C0476414
Hepatic necrosis	C0151798
Skin necrosis	C0151799
Disturbance in mood	C2939186
Pure Red-Cell Aplasia	C0034902
Redness of eye	C0235267
Eye irritation	C0235266
Increased sweating	C0700590
Fatal Outcome	C0206277
Depressed mood	C0344315
Dyslipidemias	C0242339
Tympanic Membrane Perforation	C0206504
Food Poisoning	C0016479
Hyperbilirubinemia	C0020433
Hypercalcemia	C0020437
Abnormal vision	C3665386
Hypercalciuria	C0020438
Genital Diseases, Male	C0017412
Female Genital Diseases	C0017411
Anorgasmia	C0234022
Anthrax disease	C0003175
Underweight	C0041667
Myelitis	C0026975
Nephrolithiasis	C0392525
Breast Carcinoma	C0678222
Penile Diseases	C0030846
Head discomfort	C0235002
Nasal irritation	C0240557
Rib Fractures	C0035522
Actual Inability To Taste	C2364111
Epidermal necrosis	C1167709
Drug effect decreased	C0521845
Bleeding gastric ulcer	C0341164
Alcohol abuse	C0085762
Vitreous disorder	C0155365
Vasculitic rash	C0521161
Hyperphagia	C0020505
Tooth Discoloration	C0040434
Tooth Diseases	C0040435
Tooth Erosion	C0040436
Psychotic depression	C0270458
Syncope	C0039070
Chronic suppurative otitis media	C0271454
Social disinhibition	C0424296
Parkinsonian gait	C0427160
Tension Headache	C0033893
Demyelinating polyneuropathy	C0270922
Disorder of pericardium	C0265122
Slurred speech	C0234518
Carbuncle	C0007078
Seborrheic dermatitis	C0036508
Precocious Puberty	C0034013
Soft Tissue Infections	C0149778
Depressive episode, unspecified	C0349217
Drug intolerance	C0277585
Neck Pain	C0007859
Nephropathy toxic	C0595916
Bilirubin total decreased	C3203646
Muscular fasciculation	C0015644
Hypoglycemia	C0020615
Secondary thrombocytopenia	C0154301
Protrusion tongue	C0241442
Vaginitis	C0042267
Temper tantrum	C0233558
Blood in stool	C1321898
Tenderness of gums	C0239739
Motor retardation	C0424230
Sleep Talking	C0542313
Hirsutism	C0019572
Psychotic episode	C0338614
Bleeding esophageal varices	C0155789
Bronchoconstriction	C0079043
Gastrointestinal Hemorrhage	C0017181
Vasculitis	C0042384
Exanthema	C0015230
Blood coagulation	C0005778
Blood Coagulation Disorders	C0005779
Dermatologic disorders	C0037274
Candiduria	C0403723
Sprain	C0038045
Hyperchlorhydria	C0151713
Inflammation	C0021368
Male infertility	C0021364
Skin Diseases, Infectious	C0037278
Skin irritation	C0152030
Joint swelling	C0152031
Urinary hesitation	C0152032
Mediastinal Diseases	C0025061
Major depressive disorder, single episode	C0024517
Unilateral deafness	C2607947
Labored breathing	C0553668
Hypomania	C0241934
Venous Insufficiency	C0042485
Yawning	C0043387
Peripheral coldness	C0277925
Inflicted injury	C0549356
Hay fever	C0018621
Nasal discomfort	C0858259
Acquired deformity of finger	C0410740
Wakefulness	C0043012
Priapism	C0033117
Premenstrual Tension	C0376356
Malignant neoplasm of prostate	C0376358
Ligament injury	C0435001
Muscle fibrosis	C0877009
Dysarthria	C0013362
Erythema Nodosum	C0014743
Erythema Multiforme	C0014742
Soft tissue disorder	C0263978
Dysentery	C0013369
Itching of eye	C0022281
Diastolic hypertension	C0235222
Nasal congestion (finding)	C0027424
Proteinuria	C0033687
Precordial pain	C0232286
Lightheadedness	C0220870
Crystal urine present	C0948002
Throat tightness	C0236071
Miliaria	C0026113
Menopausal symptoms	C0236075
Adenoma	C0001430
Blood bicarbonate decreased	C0852909
Testicular atrophy	C0156312
Goiter	C0018021
Completed Suicide	C0852733
Obstruction	C0028778
Teratogenesis	C0232910
Hearing impairment	C1384666
Sore mouth	C1579838
Fasting blood glucose increased	C0920108
Psychotic Disorders	C0033975
Sudden unexplained death in epilepsy	C1536075
Motion Sickness	C0026603
Retching	C0232602
Iron-Refractory Iron Deficiency Anemia	C0085576
Normocytic anemia	C0085577
Dyspnea on exertion	C0231807
Pathological fracture	C0016663
Hypokalemic alkalosis	C0085570
Diplopia	C0012569
Delayed gastric emptying	C0740411
Drug craving	C0556446
Supraventricular tachycardia	C0039240
Heat Stroke	C0018843
Drug Allergy	C0013182
General disorders and administration site conditions	C0851362
BREAST PAIN FEMALE	C0553713
Reflex, Abnormal	C0034933
Confusion	C0009676
Subconjunctival hemorrhage	C0038534
Muscle mass	C0240417
Muscle Weakness	C0151786
Blind Vision	C0456909
Periodontitis	C0031099
Staphylococcal Infections	C0038160
Narcolepsy	C0027404
Furunculosis	C0016867
Cataract subcapsular	C0235259
Respiratory Distress Syndrome, Newborn	C0035220
Respiratory Distress Syndrome, Adult	C0035222
Cachexia	C0006625
Furuncle	C0242301
Respiratory Insufficiency	C0035229
White blood cell count decreased	C0750394
Acute overdose	C1963951
Nails, Ingrown	C0027343
Cough increased	C0574067
Congenital Abnormality	C0000768
Hyperalgesia	C0020429
Urine odour abnormal	C0278045
Attention Deficit Disorder	C0041671
Heart murmur	C0018808
Fecal Incontinence	C0015732
Neurotoxicity Syndromes	C0235032
Hypersensitive syndrome	C0543698
Lethargy	C0023380
Bursitis	C0006444
Depressive disorder	C0011581
Cyanosis	C0010520
Epigastric pain	C0232493
Blurred vision	C0344232
Dysphemia	C1096340
Infusion site reaction	C1096343
Hyperprolactinemia	C0020514
Hypersensitivity	C0020517
Food-Drug Interactions	C0242785
Poor quality sleep	C1262141
Hepatitis symptom	C0858814
Tooth Abnormalities	C0040427
Tonsillitis	C0040425
Distractibility	C0233415
Increase in blood pressure	C0497247
Parotitis	C0030583
Hepatitis cholestatic	C0149904
Gout flare	C1619733
Breast engorgement	C0085688
Footdrop	C0085684
Laryngismus	C0023066
Hypochloremia (disorder)	C0085680
Hyperphosphatemia (disorder)	C0085681
Hypophosphatemia	C0085682
Hemochromatosis	C0018995
Scleral thinning	C0423273
Atrial tachycardia	C0546959
Trachyonychia	C0546956
Cervix Diseases	C0007867
Oral candidiasis	C0006849
Pulmonary Emphysema	C0034067
Uterine Cervicitis	C0007860
Pulmonary Edema	C0034063
Candidiasis	C0006840
Pulmonary Eosinophilia	C0034068
Pulmonary Fibrosis	C0034069
Nipple discharge	C0149741
Energy increased	C0455769
Oscillopsia	C0422980
Abnormal mental state	C0278061
Hypochondriasis	C0020604
Lymphadenopathy cervical	C0235592
Bradyphrenia	C0554976
Peptic Ulcer	C0030920
Bradykinesia	C0233565
Violent	C0242151
Bullous conditions	C0851664
Capillary Fragility	C0006905
Bullous eruption	C0235818
Athletic Injuries	C0004161
Cystic Fibrosis	C0010674
Blood glucose increased	C0595877
Gait abnormality	C0575081
Increased Libido	C0021177
Hepatobiliary disease	C0267792
Lymphoma	C0024299
Illusions	C0020903
Otosalpingitis	C0155428
Binge eating disorder	C0596170
Airway Obstruction	C0001883
Inflammatory Bowel Diseases	C0021390
Tendinitis	C0039503
Carcinoma breast stage IV	C0278488
Nerve injury	C0161479
Hepatic Coma	C0019147
Sensory Disorders	C0152027
Abdominal aortic bruit	C0425669
Polyneuropathy	C0152025
Vasospasm	C0085616
Sinus congestion	C0152029
Traumatic injury	C3263723
Thyroid function abnormal	C0857576
Angioedema	C0002994
Retrograde amnesia	C0002624
Amnesia	C0002622
Toxic Epidermal Necrolysis	C0014518
Hypogammaglobulinemia	C0086438
Ulcerative esophagitis	C2586050
Blackout - symptom	C0312422
Laboratory test abnormal	C0438215
Acidosis hyperchloraemic	C0085569
Sleep disturbances	C0037317
Sleep Apnea Syndromes	C0037315
Estrogen Effect	C0877035
Hallucinations	C0018524
Ketonuria	C0162275
Enterocolitis	C0014356
Serum potassium increased	C0553704
Skin Ulcer	C0037299
Fecal Impaction	C0015734
Endometritis	C0014179
Application site erythema	C0853700
Dysgeusia	C0013378
Endometriosis	C0014175
Oligomenorrhea	C0028949
Eosinophilia	C0014457
Nasal Polyps	C0027430
Chest tightness	C0232292
Dental caries	C0011334
Ketosis	C0022638
International normalised ratio decreased	C0853226
Salpingitis	C0036130
Asterixis	C0232766
Polyposis, Gastric	C0236048
Hypokinesia	C0086439
Uterine Neoplasms	C0042138
Halitosis	C0018520
Uterine Fibroids	C0042133
Dependence	C0439857
Uterine hemorrhage	C0042134
Energy increased	C0455769
Anorexia	C0003123
Sleeplessness	C0917801
Irritable Mood	C0022107
Mental Depression	C0011570
Loss of appetite (finding)	C1971624
Hyperactive behavior	C0424295
Anxiety	C0003467
Disturbance in attention	C0233414
Hunger	C0020175
Loss of appetite (finding)	C1971624
Body Weight decreased	C0043096
Confusion	C0009676
Sleeplessness	C0917801
Sleeplessness	C0917801
Depersonalization	C0011551
Vivid dreams	C0344320
Immune System Diseases	C0021053
Pain	C0030193
Drowsiness	C0013144
Unconscious State	C0041657
Mood swings	C0085633
Obsessive compulsive behavior	C0600104
Sleep disturbances	C0037317
Withdrawal Symptoms	C0087169
Hypersomnia	C0917799
Sleeplessness	C0917801
Inflammation	C0021368
Psychotic Disorders	C0033975
Psychotic episode	C0338614
Tremor	C0040822
Pain localised	C0520962
Energy increased	C0455769
Anxiety	C0003467
Pain	C0030193
Mood swings	C0085633
Elevated mood	C0233479
Depressed mood	C0344315
Sweating decreased	C0553721
Body Weight decreased	C0043096
Pain	C0030193
Eczema	C0013595
Excitability	C0235169
Vertigo	C0042571
Anxiety	C0003467
Daytime sleepiness	C0541854
Sleeplessness	C0917801
Abdominal Cramps	C0000729
Excitability	C0235169
Allergic conditions	C0851444
Swelling	C0038999
Hunger	C0020175
Anger	C0002957
Night Terrors	C0037320
Panic Attacks	C0086769
Increased sweating	C0700590
Middle insomnia	C0393761
Nausea	C0027497
Depressed mood	C0344315
Withdrawal Symptoms	C0087169
Excitability	C0235169
Hypochondriasis	C0020604
Attention Deficit Disorder	C0041671
Dizziness	C0012833
Mood swings	C0085633
Abnormal dreams	C0234458
Depressive disorder	C0011581
Somnolence	C2830004
Aggressive behavior	C0001807
Joint swelling	C0152031
Body Weight decreased	C0043096
Irritable Mood	C0022107
Energy increased	C0455769
Fatigue	C0015672
Thirst	C0039971
Weight Gain	C0043094
Anxiety	C0003467
Urticaria	C0042109
Hyperactive behavior	C0424295
Anxiety	C0003467
Headache	C0018681
Exhaustion	C0392674
Energy increased	C0455769
Wakefulness	C0043012
Bone pain	C0151825
Dry throat	C0235234
Arthropod bite	C0853348
Disturbance in mood	C2939186
Nausea	C0027497
Joint stiffness	C0162298
Nightmares	C0028084
Sleeplessness	C0917801
Fatigue	C0015672
Euphoric mood	C0235146
Abnormal behavior	C0233514
Drowsiness	C0013144
Somnolence	C2830004
Euphoric mood	C0235146
Withdrawal Symptoms	C0087169
Arthropod bite	C0853348
Ulcer	C0041582
Bipolar Disorder	C0005586
Nasal burning	C0542101
Disturbance in mood	C2939186
Withdrawal Symptoms	C0087169
Exhaustion	C0392674
Fatigue	C0015672
Headache	C0018681
Sneezing	C0037383
Vomiting	C0042963
Somnolence	C2830004
Abnormal digestive tract function	C0232459
Exhaustion	C0392674
Elevated mood	C0233479
Bruxism	C0006325
Somnolence	C2830004
Daytime sleepiness	C0541854
Personality change	C0240735
Withdrawal Symptoms	C0087169
Anxiety	C0003467
Mood swings	C0085633
Vomiting	C0042963
Irritable Mood	C0022107
Anxiety	C0003467
Feeling drunk	C0522172
Mood swings	C0085633
Sleep disturbances	C0037317
Weight Gain	C0043094
Hypochondriasis	C0020604
Excitability	C0235169
Heartburn	C0018834
Initial insomnia	C0393760
Sleeplessness	C0917801
Vivid dreams	C0344320
Bruxism	C0006325
Inflammation	C0021368
Mood swings	C0085633
Attention deficit hyperactivity disorder	C1263846
Withdrawal Symptoms	C0087169
Tremor	C0040822
Hypersomnia	C0917799
Abdominal Pain	C0000737
Substance Withdrawal Syndrome	C0038587
diarrhea	C0011991
Diarrhea	C0011991
Hyperactive behavior	C0424295
pain	C0030193
Pain	C0030193
wake up	C0043012
Wakefulness	C0043012
Miss your Prozac does	C0087169
Withdrawal Symptoms	C0087169
allergic	C0013182
Drug Allergy	C0013182
zero stress tolerance	C0003469
Anxiety Disorders	C0003469
unnecessarily wipe for 20 minutes	C0424295
Hyperactive behavior	C0424295
paraplegic	C0028643
Numbness	C0028643
mean	C0022107
Irritable Mood	C0022107
feel like a malnourished toe	C1443060
Feeling abnormal	C1443060
hard days	C0086132
Depressive Symptoms	C0086132
mania	C0235165
Mania acute	C0235165
asthma	C0476273
Respiratory distress	C0476273
feeling like the same day	C0018524
Hallucinations	C0018524
anxiety	C0030319
Panic Disorder	C0030319
FUCKED UP	C0424295
Hyperactive behavior	C0424295
withdrawal symptoms	C0087169
Withdrawal Symptoms	C0087169
nausea	C0027497
Nausea	C0027497
purge	C2267227
Bulimia Nervosa	C2267227
butt pain	C0520962
Pain localised	C0520962
unnecessarily impatient	C0022107
Irritable Mood	C0022107
asleep	C2830004
Somnolence	C2830004
stiffness	C0427008
Stiffness	C0427008
crashing	C0152128
Drug withdrawal syndrome	C0152128
hyper	C0424295
Hyperactive behavior	C0424295
Rage	C0034634
despair	C0233488
Feeling despair	C0233488
Spondylitis	C0038013
Ankylosing spondylitis	C0038013
brain fug	C0278061
Abnormal mental state	C0278061
anxiety	C0003467
Anxiety	C0003467
losing my mind	C0278061
Abnormal mental state	C0278061
Energy increased	C0455769
Anxiety Disorders	C0003469
VOLATILE	C0085633
Mood swings	C0085633
my pinky toe feel like it was chopped clean off	C0028643
Numbness	C0028643
anxious	C0003467
Anxiety	C0003467
#insomnia	C0393760
Initial insomnia	C0393760
making me.natural weight	C0043096
Body Weight decreased	C0043096
had me in my feelings	C2939186
Disturbance in mood	C2939186
had me in my feelings	C2939186
Disturbance in mood	C2939186
Tingling of extremity	C1504494
rotted my muscles	C0410158
Muscle damage	C0410158
productive	C0455769
Energy increased	C0455769
wide awake	C0043012
Wakefulness	C0043012
got me to the ceiling	C0455769
Energy increased	C0455769
got me to the ceiling	C0235169
Excitability	C0235169
muscular, joint, nerve pain	C0520962
Pain localised	C0520962
joints are also hurting	C0162298
Joint stiffness	C0162298
expense of clear thinking	C0233632
Disturbance in thinking	C0233632
kidneys shut down	C0035078
Kidney Failure	C0035078
awful feeling in my stomach	C0000737
Abdominal Pain	C0000737
makes motivation hard	C0424091
Decreased interest	C0424091
Excitability	C0235169
anxiety	C0003467
Anxiety	C0003467
had me in my feelings	C2939186
Disturbance in mood	C2939186
Sleeplessness	C0917801
feel like a zombie	C0011551
Depersonalization	C0011551
migraines	C0149931
Migraine Disorders	C0149931
hypomania	C0241934
Hypomania	C0241934
had me in my feelings	C2939186
Disturbance in mood	C2939186
hurt his shoulder	C0037011
Shoulder Pain	C0037011
eating to survive	C0232461
Increased appetite (finding)	C0232461
Insomnia	C0393761
Middle insomnia	C0393761
Antisocial behavior	C0233523
Insomnia	C0917801
Sleeplessness	C0917801
had me in my feelings	C2939186
Disturbance in mood	C2939186
got me like	C0013146
Drug abuse	C0013146
#Junkie	C1510472
Drug Dependence	C1510472
migraines	C0149931
Migraine Disorders	C0149931
LACKING SEVERELY IN SLEEP	C0917801
Sleeplessness	C0917801
hypomanic	C0241934
Hypomania	C0241934
would go 48 hours	C0043012
Wakefulness	C0043012
back ache	C0004604
Back Pain	C0004604
two cortisone injections to get my shoulder right	C0409497
Joint injury	C0409497
dry mouth	C0555724
On examination - dry lips	C0555724
10+lbs	C0043094
Weight Gain	C0043094
allergic reaction	C0013182
Drug Allergy	C0013182
my chest is exploding	C0008031
Chest Pain	C0008031
wake you up	C0043012
Wakefulness	C0043012
very mild diarrhea	C0011991
Diarrhea	C0011991
sick	C0270458
Psychotic depression	C0270458
Crohns	C0010346
Crohn Disease	C0010346
dizzy	C0027497
Nausea	C0027497
Hyperactive behavior	C0424295
hangry	C0022107
Irritable Mood	C0022107
making myself get out of bed	C0541854
Daytime sleepiness	C0541854
worst pain	C0030193
Pain	C0030193
nauseous	C0027497
Nausea	C0027497
makes my fingers hurt	C0520962
Pain localised	C0520962
joints are also hurting	C0520962
Pain localised	C0520962
insomnia	C0917801
Sleeplessness	C0917801
spins	C0233407
Disorientation	C0233407
doubling up on my adderall	C1963951
Acute overdose	C1963951
sudden death	C0011071
Sudden death	C0011071
in my feelings	C0235169
Excitability	C0235169
had me in my feelings	C2939186
Disturbance in mood	C2939186
hurt	C0030193
Pain	C0030193
completely bonkers	C0278061
Abnormal mental state	C0278061
hadmeinmy feelings	C2939186
Disturbance in mood	C2939186
mad	C0002957
Anger	C0002957
dopey	C0549249
Depressed Level of Consciousness	C0549249
headaches	C0018681
Headache	C0018681
feeling something now,	C0455769
Energy increased	C0455769
sharp pain	C0000737
Abdominal Pain	C0000737
tired	C0541854
Daytime sleepiness	C0541854
losing weight	C0043096
Body Weight decreased	C0043096
addicted	C0556446
Drug craving	C0556446
got me uppppp	C0424295
Hyperactive behavior	C0424295
binge	C0596170
Binge eating disorder	C0596170
ITS MAKING ME CRAZY	C1443060
Feeling abnormal	C1443060
feel weird	C1443060
Feeling abnormal	C1443060
sleepy	C2830004
Somnolence	C2830004
haven't eaten since like 9	C0232462
Decrease in appetite	C0232462
incr anxiety	C0549259
Anxiety aggravated	C0549259
Foot numb	C0028643
Numbness	C0028643
anxiety	C0003467
Anxiety	C0003467
crash	C0152128
Drug withdrawal syndrome	C0152128
sleepy	C2830004
Somnolence	C2830004
Miss your Prozac does	C0011570
Mental Depression	C0011570
miserable	C0344315
Depressed mood	C0344315
intense yawns	C0013144
Drowsiness	C0013144
gaining weight	C0043094
Weight Gain	C0043094
so fucking tired	C0392674
Exhaustion	C0392674
Body Weight decreased	C0043096
nut came out like water	C2937350
Abnormal ejaculation	C2937350
make you a zombie	C0541854
Daytime sleepiness	C0541854
need space &amp; to be alone	C0424166
Social fear	C0424166
Mental disorders	C0004936
Stomach messed up	C0232459
Abnormal digestive tract function	C0232459
have no emotions	C0233459
Emotional disorder	C0233459
falling asleep	C0541854
Daytime sleepiness	C0541854
Anxiety Disorders	C0003469
losing weight	C0043096
Body Weight decreased	C0043096
depression	C0011570
Mental Depression	C0011570
Erection increased	C0541941
act fucking weird	C0233514
Abnormal behavior	C0233514
not myself	C0240735
Personality change	C0240735
pissed off about everything	C0022107
Irritable Mood	C0022107
heart attack	C0018801
Heart failure	C0018801
tremor	C0040822
Tremor	C0040822
pain	C0030193
Pain	C0030193
panic attacks	C0086769
Panic Attacks	C0086769
Energy increased	C0455769
makes me question my whole life	C0003467
Anxiety	C0003467
#bipolar	C0005586
Bipolar Disorder	C0005586
Stress	C0038435
sleep the day away	C0541854
Daytime sleepiness	C0541854
pissed off	C0022107
Irritable Mood	C0022107
depress	C0344315
Depressed mood	C0344315
had me in my feelings	C2939186
Disturbance in mood	C2939186
Sedated state	C0235195
anxiety	C0003467
Anxiety	C0003467
very stupid	C0233407
Disorientation	C0233407
withdrawal	C0087169
Withdrawal Symptoms	C0087169
sleepy	C0013144
Drowsiness	C0013144
mild headache	C0018681
Headache	C0018681
sour mood	C0022107
Irritable Mood	C0022107
drowsy	C0013144
Drowsiness	C0013144
Depressed mood	C0344315
throbbing!	C0030193
Pain	C0030193
the 10 lbs I gained	C0043094
Weight Gain	C0043094
puking	C0042963
Vomiting	C0042963
walking up and down	C0455769
Energy increased	C0455769
Discontinuation	C0087169
Withdrawal Symptoms	C0087169
not being able to eat	C1971624
Loss of appetite (finding)	C1971624
drowsy	C0013144
Drowsiness	C0013144
asthma	C0004096
Asthma	C0004096
HIGH	C0013146
Drug abuse	C0013146
anti social	C0233523
Antisocial behavior	C0233523
Sad mood	C3536794
screwing with my short term memory	C0233794
Memory impairment	C0233794
nauseous	C0027497
Nausea	C0027497
rotted my muscles out	C0410158
Muscle damage	C0410158
anxiety	C0270549
Generalized Anxiety Disorder	C0270549
pain	C0234238
Ache	C0234238
sleep all day	C2830004
Somnolence	C2830004
Got 1.5 hours of sleep	C0037317
Sleep disturbances	C0037317
Depressed mood	C0344315
fall asleep	C2830004
Somnolence	C2830004
feeling very differen	C0018524
Hallucinations	C0018524
panic	C0086769
Panic Attacks	C0086769
lose my appetite	C1971624
Loss of appetite (finding)	C1971624
Finna thrown up	C0027497
Nausea	C0027497
cranky	C0022107
Irritable Mood	C0022107
mosquito bites	C0003044
Animal bite	C0003044
withdrawal symptoms	C0087169
Withdrawal Symptoms	C0087169
focused	C0858899
Attention concentration difficulty	C0858899
feeling proper psycho	C0233401
Psychiatric symptom	C0233401
sick	C0027497
Nausea	C0027497
soulless robot	C0085632
Indifferent mood	C0085632
groggy	C0728899
Intoxication	C0728899
psychosis	C0281774
Acute psychosis	C0281774
monster	C0002957
Anger	C0002957
had me in my feelings	C2939186
Disturbance in mood	C2939186
bipolar	C0270458
Psychotic depression	C0270458
#hivewatch	C0042109
Urticaria	C0042109
weak and woozy	C0013144
Drowsiness	C0013144
thirsty	C0039971
Thirst	C0039971
nausea	C0027497
Nausea	C0027497
pookied out	C0235146
Euphoric mood	C0235146
migraines	C0235890
Migraine aggravated	C0235890
headaches	C0018681
Headache	C0018681
Withdrawing	C0087169
Withdrawal Symptoms	C0087169
attitude	C0022107
Irritable Mood	C0022107
hungry at night	C0232461
Increased appetite (finding)	C0232461
paranoid	C0151836
Paranoid reaction	C0151836
Tired	C2830004
Somnolence	C2830004
insomnia	C0393760
Initial insomnia	C0393760
the only reason I haven't downed all these antidepressants is because sertraline overdose rarely results in death	C0424000
Feeling suicidal (finding)	C0424000
ANXIOUS	C0003467
Anxiety	C0003467
thins the skin	C0423757
Skin thinness	C0423757
attentive	C0233414
Disturbance in attention	C0233414
had me in my feelings	C0235169
Excitability	C0235169
#tennis elbow	C0014488
Epicondylitis	C0014488
tired	C2830004
Somnolence	C2830004
Sleeplessness	C0917801
mood swings	C0085633
Mood swings	C0085633
WIDE AWAKE	C0917801
Sleeplessness	C0917801
hyper	C0424295
Hyperactive behavior	C0424295
Drowsiness	C0013144
falling asleep	C0013144
Drowsiness	C0013144
appetite on 10	C0232461
Increased appetite (finding)	C0232461
had me in my feelings	C0235169
Excitability	C0235169
dizzy	C0012833
Dizziness	C0012833
anxious	C0003467
Anxiety	C0003467
Losing weight	C0043096
Body Weight decreased	C0043096
hurt	C0344315
Depressed mood	C0344315
Respiratory distress	C0476273
makes me sweat	C0038990
Sweating	C0038990
feel sick	C0027497
Nausea	C0027497
trippin	C0728899
Intoxication	C0728899
sneezing fits	C0037383
Sneezing	C0037383
sleepy	C2830004
Somnolence	C2830004
dizzy	C0220870
Lightheadedness	C0220870
come off	C0152128
Drug withdrawal syndrome	C0152128
mood swings	C0005586
Bipolar Disorder	C0005586
had me in my feelings	C0235169
Excitability	C0235169
Panic	C0030318
concentration issues	C0858899
Attention concentration difficulty	C0858899
itching	C0013595
Eczema	C0013595
odramatic	C0085633
Mood swings	C0085633
panic attacks	C0700031
Anxiety attack	C0700031
heart attack	C0018790
Cardiac Arrest	C0018790
random shoulder spasms	C0037763
Spasm	C0037763
dizziness	C0012833
Dizziness	C0012833
crazy	C0233514
Abnormal behavior	C0233514
nauseous	C0027497
Nausea	C0027497
tremor	C0234376
Action Tremor	C0234376
sun allergy	C0851444
Allergic conditions	C0851444
got me to the ceiling	C0235169
Excitability	C0235169
focus like a wimp	C0858899
Attention concentration difficulty	C0858899
got me to the ceiling	C0455769
Energy increased	C0455769
Somnolence	C2830004
Abnormal dreams	C0234458
tennis elbow	C0409497
Joint injury	C0409497
head feel very strange	C0278061
Abnormal mental state	C0278061
wicked weird dreams	C0234458
Abnormal dreams	C0234458
feel like complete and utter crap	C0344315
Depressed mood	C0344315
I'm crazy	C0233514
Abnormal behavior	C0233514
Feeling despair	C0233488
anxiety	C0003467
Anxiety	C0003467
intense, emotionally-charged nightmares	C0234458
Abnormal dreams	C0234458
got me to the ceiling	C0455769
Energy increased	C0455769
Paraplegia	C0030486
mood swings	C0085633
Mood swings	C0085633
I look like a damn whale	C0043094
Weight Gain	C0043094
throbbing	C0030193
Pain	C0030193
fast as @RealPaigeWWE talks	C0424295
Hyperactive behavior	C0424295
take naps	C2830004
Somnolence	C2830004
attitude	C0022107
Irritable Mood	C0022107
I can't remember the last time I slept	C0917801
Sleeplessness	C0917801
ate on it like crazy	C0232461
Increased appetite (finding)	C0232461
sleepy	C2830004
Somnolence	C2830004
bones brittle	C0877225
Bone density decreased	C0877225
Wakefulness	C0043012
vomiting	C0042963
Vomiting	C0042963
my eyes won't stay open	C0013144
Drowsiness	C0013144
30lbs that I gained	C0043094
Weight Gain	C0043094
making me fat	C0043094
Weight Gain	C0043094
worked out more	C0455769
Energy increased	C0455769
mild headache	C0018681
Headache	C0018681
feel drunk	C0522172
Feeling drunk	C0522172
exhausted	C0392674
Exhaustion	C0392674
highly irritated	C0022107
Irritable Mood	C0022107
the fucking roid rage	C0002957
Anger	C0002957
makes me gag when I cough	C0553668
Labored breathing	C0553668
Arthritis	C0003864
Arthritis	C0003864
dizzy	C0220870
Lightheadedness	C0220870
withdrawals	C0087169
Withdrawal Symptoms	C0087169
wrecked my memory	C0751295
Memory Loss	C0751295
asthma	C0004096
Asthma	C0004096
panic	C0086769
Panic Attacks	C0086769
tired	C2830004
Somnolence	C2830004
Withdrawal Symptoms	C0087169
anxiety	C0003467
Anxiety	C0003467
thirsty	C0039971
Thirst	C0039971
scold sweat	C0232431
Cold sweat	C0232431
need to gulp air randomly	C0553668
Labored breathing	C0553668
rage	C0034634
Rage	C0034634
being distracted	C0233414
Disturbance in attention	C0233414
Body Weight decreased	C0043096
Anxiety	C0003467
sleep-deprived	C0917801
Sleeplessness	C0917801
feel great	C0235146
Euphoric mood	C0235146
puking	C0042963
Vomiting	C0042963
feel like I'm on fire	C0549385
Feeling of body temperature change	C0549385
dizzy	C0012833
Dizziness	C0012833
tremor	C0751494
Convulsive Seizures	C0751494
Weight Gain	C0043094
makes me more awake	C0043012
Wakefulness	C0043012
energetic	C0455769
Energy increased	C0455769
30-day adderall supply lasts me like a week	C1963951
Acute overdose	C1963951
clench my jaws	C0006325
Bruxism	C0006325
Can't wait for fall so the mosquitoes will go away and I can stop using cortisone cream as lotion all over my legs	C0853348
Arthropod bite	C0853348
neat freak mode	C0600104
Obsessive compulsive behavior	C0600104
I'm shooting	C0424000
Feeling suicidal (finding)	C0424000
Mental illness	C0004936
Mental disorders	C0004936
painful b..	C0233973
Painful erection	C0233973
losing weight	C0043096
Body Weight decreased	C0043096
completely useless	C0041671
Attention Deficit Disorder	C0041671
behaviour problems	C0233514
Abnormal behavior	C0233514
feel weird	C1443060
Feeling abnormal	C1443060
got me to the ceiling	C0455769
Energy increased	C0455769
gain weight	C0043094
Weight Gain	C0043094
angry	C0034634
Rage	C0034634
pain	C0030193
Pain	C0030193
zombie	C0011551
Depersonalization	C0011551
pain	C0030193
Pain	C0030193
anxiety	C0338908
Anxiety depression	C0338908
eyes burn from lack of blinking	C0151827
Eye pain	C0151827
Mental Depression	C0011570
seizure	C0751494
Convulsive Seizures	C0751494
Foot pain	C0016512
messing with my visio	C0344232
Blurred vision	C0344232
got me pissed	C0002957
Anger	C0002957
Migraine Disorders	C0149931
in my feelings	C0235169
Excitability	C0235169
headaches	C0149931
Migraine Disorders	C0149931
terrible joint pain	C0520962
Pain localised	C0520962
Abnormal mental state	C0278061
zombie	C0015672
Fatigue	C0015672
I can't work	C0233414
Disturbance in attention	C0233414
sleeping standing up	C0694563
Excessive daytime somnolence	C0694563
insomnia	C0917801
Sleeplessness	C0917801
sleep deprivation	C0917801
Sleeplessness	C0917801
Sleeplessness	C0917801
literally tweeted non stop from like 7pm to 8am the next day	C0424295
Hyperactive behavior	C0424295
Achy	C0234238
Ache	C0234238
I'm determined to not become a ravenous asshole	C0596170
Binge eating disorder	C0596170
dizzy	C0012833
Dizziness	C0012833
night terrors	C0037320
Night Terrors	C0037320
vomiting	C0027497
Nausea	C0027497
gained 7 lbs	C0043094
Weight Gain	C0043094
bipolar	C0005586
Bipolar Disorder	C0005586
